"","name","transfer.date","club.from","club.to","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","league","Status"
"61","Oumar Niasse","2016/2/1","Loko Moscow","Everton",15220000,"
                                Attacker                            ","Senegal","Dakar",19,6,4,8,8,1,0,1,0,180,1080,NA,"1990/4/18",25.7905544147844,"Premier league","Middle Club"
"62","Ramiro Funes Mori","2015/9/1","River Plate","Everton",10970000,"
                                Defender                            ","Argentina","Mendoza",51,6,2,1,1,17,0,1,0,757,4540,NA,"1991/3/5",24.4928131416838,"Premier league","Middle Club"
"63","Gerard Deulofeu","2015/7/1","FC Barcelona","Everton",5100000,"
                                Attacker                            ","Spain","Riudarenes",28,3,10,13,13,1,0,0,0,443,1328,23.9835728952772,"1994/3/13",21.3004791238877,"Premier league","Middle Club"
"64","Aaron Lennon","2015/9/1","Spurs","Everton",5100000,"
                                Attacker                            ","England","Chapeltown",31,2,3,11,11,3,0,0,0,905,1810,9.95482546201232,"1987/4/16",28.3778234086242,"Premier league","Middle Club"
"65","Shani Tarashaj","2016/1/7","Grasshoppers","Everton",3400000,"
                                Attacker                            ","Switzerland","Hausen am Albis",28,3,0,21,21,2,0,0,0,317,952,NA,"1995/2/7",20.9144421629021,"Premier league","Middle Club"
"66","Leandro Rodríguez","2015/8/28","River Plate","Everton",595000,"
                                Attacker                            ","Uruguay","Montevideo",27,10,4,0,0,3,0,0,0,205,2048,NA,"1992/11/19",22.7707049965777,"Premier league","Middle Club"
"67","David Henen","2015/7/2","Olympiacos","Everton",238000,"
                                Attacker                            ","Belgium","Libramont-Chevigny",15,4,2,1,1,1,0,0,0,294,1175,35.9425051334702,"1996/4/19",19.2005475701574,"Premier league","Middle Club"
"68","Tom Cleverley","2015/7/1","Manchester Utd.","Everton",0,"
                                Midfield                            ","England","Basingstoke",38,3,0,0,0,8,0,0,0,1033,3098,NA,"1989/8/12",25.8836413415469,"Premier league","Middle Club"
"69","Dimitri Payet","2015/7/1","Marseille","West Ham",12750000,"
                                Attacker                            ","France","Saint-Pierre",38,7,21,2,2,3,0,0,0,458,3203,NA,"1987/3/29",28.2573579739904,"Premier league","Middle Club"
"70","Angelo Ogbonna","2015/7/10","Juventus","West Ham",9350000,"
                                Defender                            ","Italy","Cassino",30,0,0,8,8,4,0,0,0,NA,2054,35.6796714579055,"1988/5/23",27.129363449692,"Premier league","Middle Club"
"71","Michail Antonio","2015/9/1","Nottm Forest","West Ham",8080000,"
                                Attacker                            ","England","London",49,15,14,0,0,7,0,0,0,277,4156,NA,"1990/3/28",25.429158110883,"Premier league","Middle Club"
"72","Pedro Obiang","2015/7/1","Sampdoria","West Ham",5100000,"
                                Midfield                            ","Spain","Alcalá de Henares",36,3,1,2,2,12,0,0,0,972,2916,NA,"1992/3/27",23.2607802874743,"Premier league","Middle Club"
"73","Sam Byram","2016/1/20","Leeds","West Ham",4080000,"
                                Defender                            ","England","Thurrock",39,3,3,3,3,7,0,1,0,1089,3268,5.3223819301848,"1993/9/16",22.3436002737851,"Premier league","Middle Club"
"74","Nikica Jelavic","2015/9/1","Hull City","West Ham",3490000,"
                                Attacker                            ","Croatia","Capljina",29,8,1,8,8,3,0,0,0,232,1855,NA,"1985/8/27",30.0123203285421,"Premier league","Middle Club"
"75","José Salomón Rondón","2015/8/10","Zenit S-Pb","West Brom",14450000,"
                                Attacker                            ","Venezuela","Caracas",44,20,4,12,12,6,0,0,0,143,2862,34.6611909650924,"1989/9/16",25.8973305954825,"Premier league","Middle Club"
"76","James Chester","2015/7/29","Hull City","West Brom",9610000,"
                                Defender                            ","Wales","Warrington",28,2,0,0,0,5,0,1,0,1153,2306,NA,"1989/1/23",26.5106091718001,"Premier league","Middle Club"
"77","Jonny Evans","2015/8/29","Manchester Utd.","West Brom",7060000,"
                                Defender                            ","Northern Ireland","Belfast",19,0,0,3,3,1,0,0,0,NA,1495,NA,"1988/1/3",27.6522929500342,"Premier league","Middle Club"
"78","Rickie Lambert","2015/7/31","Liverpool","West Brom",3570000,"
                                Attacker                            ","England","Kirkby",36,3,2,24,24,2,0,0,0,414,1242,11.006160164271,"1982/2/16",33.45106091718,"Premier league","Middle Club"
"79","James McClean","2015/7/1","Wigan","West Brom",1790000,"
                                Attacker                            ","Ireland","Derry",37,6,7,6,6,11,1,0,0,487,2924,11.9917864476386,"1989/4/22",26.1902806297057,"Premier league","Middle Club"
"80","Shinji Okazaki","2015/7/1","1.FSV Mainz 05","Leicester",9350000,"
                                Attacker                            ","Japan","Takarazuka, Hyogo",35,14,6,1,1,4,0,0,0,221,3087,11.9917864476386,"1986/4/16",29.2073921971253,"Premier league","Middle Club"
"81","N'Golo Kanté","2015/8/3","SM Caen","Leicester",7650000,"
                                Midfield                            ","France","Paris",39,3,5,2,2,3,1,0,0,1111,3332,34.8911704312115,"1991/3/29",24.3477070499658,"Premier league","Middle Club"
"82","Gökhan Inler","2015/8/19","SSC Napoli","Leicester",5950000,"
                                Midfield                            ","Switzerland","Olten",33,1,0,4,4,6,0,0,0,2562,2562,10.3819301848049,"1984/6/27",31.1430527036277,"Premier league","Middle Club"
"83","Yohan Benalouane","2015/8/3","Atalanta","Leicester",5950000,"
                                Defender                            ","Tunisia","Bagnols-sur-Cèze",29,1,0,2,2,14,1,0,0,2369,2369,46.8829568788501,"1987/3/28",28.3504449007529,"Premier league","Middle Club"
"84","Daniel Amartey","2016/1/22","FC Copenhagen","Leicester",5610000,"
                                Midfield                            ",NA,NA,43,6,2,2,2,12,1,0,0,623,3739,47.2772073921971,"1994/12/21",21.0869267624914,"Premier league","Middle Club"
"85","Demarai Gray","2016/1/4","Birmingham","Leicester",4340000,"
                                Attacker                            ","England","Birmingham",43,6,2,14,14,2,0,0,0,442,2651,29.8316221765914,"1996/6/28",19.5181382614647,"Premier league","Middle Club"
"86","Robert Huth","2015/7/1","Stoke City","Leicester",3570000,"
                                Defender                            ","Germany","Berlin",18,1,0,1,1,3,0,0,0,1452,1452,11.9917864476386,"1984/8/18",30.8665297741273,"Premier league","Middle Club"
"87","Christian Fuchs","2015/7/1","FC Schalke 04","Leicester",0,"
                                Defender                            ","Austria","Neunkirchen",30,3,5,5,5,4,0,0,0,716,2148,0.952772073921971,"1986/4/7",29.2320328542094,"Premier league","Middle Club"
