"","club.to","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status"
"219","Fiorentina","Davide Astori","2016/7/1","Cagliari Calcio",2.98,"
                                Defender                            ","Italy","San Giovanni Bianco",42,0,0,1,1,6,0,0,0,NA,3689,11.958932238193,"1987/1/7",29.4811772758385,9430,"Serie A","Top Club"
"220","Fiorentina","Ianis Hagi","2016/7/10","FC Viitorul",1.7,"
                                Attacker                            ","Romania","Istanbul",32,3,2,4,4,5,0,0,0,629,1888,NA,"1998/10/22",17.7166324435318,1580,"Serie A","Top Club"
"221","G. Bordeaux","Jérémy Ménez","2016/8/1","AC Milan",0,"
                                Attacker                            ","France","Longjumeau",12,4,0,9,9,1,0,0,1,96,383,10.9404517453799,"1987/5/7",29.2375085557837,380000,"Ligue 1","Middle Club"
"222","G. Bordeaux","François Kamano","2016/7/27","SC Bastia",2.13,"
                                Attacker                            ","Guinea","Conakry",24,4,0,6,6,2,0,2,0,373,1493,NA,"1996/5/1",20.2381930184805,1270,"Ligue 1","Middle Club"
"223","G. Bordeaux","Jérémy Toulalan","2016/7/1","Monaco",0,"
                                Midfield                            ","France","Nantes",36,0,2,1,1,8,0,0,0,NA,3099,11.958932238193,"1983/9/10",32.807665982204,128000,"Ligue 1","Middle Club"
"224","G. Bordeaux","Igor Lewczuk","2016/8/31","Legia Warszawa",0.85,"
                                Defender                            ","Poland","Bialystok",44,2,3,1,1,5,1,0,0,1945,3889,9.95482546201232,"1985/5/30",31.2553045859001,3550,"Ligue 1","Middle Club"
"225","Genoa","Lucas Orbán","2016/8/31","Valencia CF",0,"
                                Defender                            ","Argentina","Buenos Aires",15,0,0,1,1,7,0,1,0,NA,1244,33.9383983572895,"1989/2/3",27.5728952772074,2290,"Serie A","Middle Club"
"226","Genoa","Cristian Ansaldi","2016/7/29","Zenit S-Pb",3.4,"
                                Defender                            ","Argentina","Rosario",26,0,5,2,2,4,0,0,0,NA,2133,NA,"1986/9/20",29.8562628336756,11700,"Serie A","Middle Club"
"227","Genoa","Santiago Gentiletti","2016/7/18","Lazio",0.425,"
                                Defender                            ","Argentina","Godeken",27,0,0,4,4,10,0,0,0,NA,2215,NA,"1985/1/9",31.5208761122519,3340,"Serie A","Middle Club"
"228","Genoa","Diego Laxalt","2016/7/30","Inter",3.4,"
                                Midfield                            ","Uruguay","Montevideo",36,3,4,0,0,3,0,0,0,1064,3193,22.9979466119097,"1993/2/7",23.4743326488706,23500,"Serie A","Middle Club"
"229","Genoa","Giovanni Simeone","2016/8/18","River Plate",2.55,"
                                Attacker                            ","Argentina","Madrid",16,5,0,2,2,0,0,0,0,256,1281,NA,"1995/7/5",21.1225188227242,5670,"Serie A","Middle Club"
"230","Genoa","Davide Biraschi","2016/8/31","Avellino",1.36,"
                                Defender                            ","Italy","Roma",34,0,1,0,0,7,1,0,0,NA,2906,21.9466119096509,"1994/7/2",22.1656399726215,287,"Serie A","Middle Club"
"231","Genoa","Miguel Veloso","2016/7/30","Dynamo Kyiv",0,"
                                Midfield                            ","Portugal","Coimbra",30,3,6,3,3,7,0,0,0,761,2282,NA,"1986/5/11",30.2203969883641,30700,"Serie A","Middle Club"
"232","Genoa","Bartosz Wolski","2016/8/30","Latina U19",0,"
                                Midfield                            ","Poland","Aleksandrów ...",26,1,7,1,1,3,0,0,0,2195,2195,NA,"1997/5/12",19.3018480492813,119,"Serie A","Middle Club"
"233","Genoa","Nikola Ninkovic","2016/7/1","Chievo Verona",0.468,"
                                Midfield                            ","Serbia"," Bogatic",24,3,6,13,13,4,0,0,0,385,1156,NA,"1994/12/19",21.533196440794,3630,"Serie A","Middle Club"
"234","Granada CF","Omer Atzili","2016/8/26","B. Jerusalem",0.638,"
                                Attacker                            ","Israel","Holon",33,8,4,3,3,7,0,0,2,340,2720,NA,"1993/7/27",23.0828199863107,878,"La Liga","Bottom Club"
"235","Granada CF","Tito","2016/7/1","Rayo Vallecano",0,"
                                Defender                            ","Spain","Madrid",32,1,3,2,2,5,1,1,0,2610,2610,NA,"1985/7/11",30.9733059548255,143000,"La Liga","Bottom Club"
"236","Granada CF","Matthieu Saunier","2016/8/4","Troyes",0,"
                                Defender                            ","France","Hyères",30,0,0,0,0,4,0,0,0,NA,2628,NA,"1990/2/7",26.4887063655031,12900,"La Liga","Bottom Club"
